Initial Numbers,Collatz Number,Result of each calculation
4,0, 5 16 8 4 2 
9,1, 10 5 16 8 4 2 
14,7, 15 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
19,2, 20 10 5 16 8 4 2 
24,5, 25 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 
29,8, 30 15 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
34,16, 35 106 53 160 80 40 20 10 5 16 8 4 2 
39,3, 40 20 10 5 16 8 4 2 
44,19, 45 136 68 34 17 52 26 13 40 20 10 5 16 8 4 2 
49,6, 50 25 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 
54,14, 55 166 83 250 125 376 188 94 47 142 71 214 107 322 161 484 242 121 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
59,9, 60 30 15 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
64,9, 65 196 98 49 148 74 37 112 56 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 
69,17, 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
74,17, 75 226 113 340 170 85 256 128 64 32 16 8 4 2 
79,4, 80 40 20 10 5 16 8 4 2 
84,12, 85 256 128 64 32 16 8 4 2 
89,20, 90 45 136 68 34 17 52 26 13 40 20 10 5 16 8 4 2 
94,20, 95 286 143 430 215 646 323 970 485 1456 728 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 
99,7, 100 50 25 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 
